Euclidean precision,Euclidean recall,Euclidean F-measure,Cosine precision,Cosine recall,Cosine F-measure,"
"
0.000,0.000,0.000,0.333,0.172,0.227,"
"
0.000,0.000,0.000,0.267,0.160,0.200,"
"
0.000,0.000,0.000,0.400,0.667,0.500,"
"
0.000,0.000,0.000,0.200,1.000,0.333,"
"
0.000,0.000,0.000,0.067,0.200,0.100,"
"
0.000,0.000,0.000,0.200,0.600,0.300,"
"
0.000,0.000,0.000,0.133,0.333,0.190,"
"
0.000,0.000,0.000,0.200,0.250,0.222,"
"
0.000,0.000,0.000,0.133,0.500,0.211,"
"
0.000,0.000,0.000,0.267,0.444,0.333,"
"
0.000,0.000,0.000,0.067,0.125,0.087,"
"
0.000,0.000,0.000,0.067,0.167,0.095,"
"
0.000,0.000,0.000,0.133,0.400,0.200,"
"
0.000,0.000,0.000,0.067,0.333,0.111,"
"
0.000,0.000,0.000,0.133,0.667,0.222,"
"
0.000,0.000,0.000,0.133,0.500,0.211,"
"
0.000,0.000,0.000,0.133,0.667,0.222,"
"
0.000,0.000,0.000,0.200,0.750,0.316,"
"
0.000,0.000,0.000,0.067,0.100,0.080,"
"
0.000,0.000,0.000,0.600,0.900,0.720,"
"
0.000,0.000,0.000,0.067,0.200,0.100,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.267,0.121,0.167,"
"
0.000,0.000,0.000,0.133,0.500,0.211,"
"
0.000,0.000,0.000,0.200,0.300,0.240,"
"
0.000,0.000,0.000,0.133,0.286,0.182,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.067,0.100,0.080,"
"
0.000,0.000,0.000,0.067,0.125,0.087,"
"
0.000,0.000,0.000,0.067,0.500,0.118,"
"
0.000,0.000,0.000,0.133,0.286,0.182,"
"
0.000,0.000,0.000,0.200,0.750,0.316,"
"
0.000,0.000,0.000,0.333,0.714,0.455,"
"
0.000,0.000,0.000,0.133,0.500,0.211,"
"
0.000,0.000,0.000,0.067,0.333,0.111,"
"
0.000,0.000,0.000,0.067,0.100,0.080,"
"
0.000,0.000,0.000,0.133,0.182,0.154,"
"
0.000,0.000,0.000,0.133,0.143,0.138,"
"
0.000,0.000,0.000,0.133,0.154,0.143,"
"
0.000,0.000,0.000,0.200,0.750,0.316,"
"
0.000,0.000,0.000,0.333,0.833,0.476,"
"
0.000,0.000,0.000,0.333,0.714,0.455,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.267,0.308,0.286,"
"
0.000,0.000,0.000,0.400,0.375,0.387,"
"
0.000,0.000,0.000,0.400,0.400,0.400,"
"
0.000,0.000,0.000,0.333,0.417,0.370,"
"
0.000,0.000,0.000,0.200,1.000,0.333,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.133,0.182,0.154,"
"
0.000,0.000,0.000,0.333,1.000,0.500,"
"
0.000,0.000,0.000,0.133,0.182,0.154,"
"
0.000,0.000,0.000,0.133,0.200,0.160,"
"
0.000,0.000,0.000,0.200,0.273,0.231,"
"
0.000,0.000,0.000,0.200,0.273,0.231,"
"
0.000,0.000,0.000,0.200,0.200,0.200,"
"
0.000,0.000,0.000,0.200,0.300,0.240,"
"
0.000,0.000,0.000,0.067,0.200,0.100,"
"
0.000,0.000,0.000,0.200,0.500,0.286,"
"
0.000,0.000,0.000,0.267,0.667,0.381,"
"
0.000,0.000,0.000,0.200,0.500,0.286,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.067,0.333,0.111,"
"
0.000,0.000,0.000,0.533,0.500,0.516,"
"
0.000,0.000,0.000,0.067,0.167,0.095,"
"
0.000,0.000,0.000,0.600,0.600,0.600,"
"
0.000,0.000,0.000,0.067,0.167,0.095,"
"
0.000,0.000,0.000,0.067,0.167,0.095,"
"
0.000,0.000,0.000,0.133,0.182,0.154,"
"
0.000,0.000,0.000,0.133,0.222,0.167,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.467,0.333,0.389,"
"
0.000,0.000,0.000,0.067,0.143,0.091,"
"
0.000,0.000,0.000,0.067,0.167,0.095,"
"
0.000,0.000,0.000,0.067,0.125,0.087,"
"
0.000,0.000,0.000,0.067,0.143,0.091,"
"
0.000,0.000,0.000,0.200,0.750,0.316,"
"
0.000,0.000,0.000,0.133,0.333,0.190,"
"
0.000,0.000,0.000,0.067,0.200,0.100,"
"
0.000,0.000,0.000,0.200,1.000,0.333,"
"
0.000,0.000,0.000,0.333,0.833,0.476,"
"
0.000,0.000,0.000,0.133,0.400,0.200,"
"
0.000,0.000,0.000,0.267,0.333,0.296,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.133,0.667,0.222,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.467,1.000,0.636,"
"
0.000,0.000,0.000,0.200,0.429,0.273,"
"
0.000,0.000,0.000,0.333,0.357,0.345,"
"
0.000,0.000,0.000,0.200,0.300,0.240,"
"
0.000,0.000,0.000,0.400,0.429,0.414,"
"
0.000,0.000,0.000,0.133,1.000,0.235,"
"
0.000,0.000,0.000,0.333,0.385,0.357,"
"
0.000,0.000,0.000,0.067,0.333,0.111,"
"
0.000,0.000,0.000,0.267,0.286,0.276,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.067,0.167,0.095,"
"
0.000,0.000,0.000,0.133,0.400,0.200,"
"
0.000,0.000,0.000,0.067,0.100,0.080,"
"
0.000,0.000,0.000,0.400,0.857,0.545,"
"
0.000,0.000,0.000,0.133,0.400,0.200,"
"
0.000,0.000,0.000,0.133,0.667,0.222,"
"
0.000,0.000,0.000,0.133,0.333,0.190,"
"
0.000,0.000,0.000,0.267,0.667,0.381,"
"
0.000,0.000,0.000,0.267,0.667,0.381,"
"
0.000,0.000,0.000,0.333,0.625,0.435,"
"
0.000,0.000,0.000,0.533,1.000,0.696,"
"
0.000,0.000,0.000,0.133,0.333,0.190,"
"
0.000,0.000,0.000,0.067,0.200,0.100,"
"
0.000,0.000,0.000,0.267,0.500,0.348,"
"
0.000,0.000,0.000,0.133,0.667,0.222,"
"
0.000,0.000,0.000,0.067,0.200,0.100,"
"
0.000,0.000,0.000,0.133,0.400,0.200,"
"
0.000,0.000,0.000,0.067,0.200,0.100,"
"
0.000,0.000,0.000,0.067,0.167,0.095,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.067,0.250,0.105,"
"
0.000,0.000,0.000,0.133,1.000,0.235,"
"
0.000,0.000,0.000,0.333,0.500,0.400,"
"
0.000,0.000,0.000,0.333,0.625,0.435,"
"
0.000,0.000,0.000,0.200,0.300,0.240,"
"
0.000,0.000,0.000,0.200,1.000,0.333,"
"
0.000,0.000,0.000,0.067,0.200,0.100,"
"
0.067,0.056,0.061,0.333,0.278,0.303,"
"
0.000,0.000,0.000,0.200,0.333,0.250,"
"
0.000,0.000,0.000,0.133,0.333,0.190,"
"
0.000,0.000,0.000,0.067,0.333,0.111,"
"
0.000,0.000,0.000,0.200,0.375,0.261,"
"
0.000,0.000,0.000,0.267,0.667,0.381,"
"
0.000,0.000,0.000,0.533,0.889,0.667,"
"
0.000,0.000,0.000,0.800,0.750,0.774,"
"
0.000,0.000,0.000,0.333,0.625,0.435,"
"
0.000,0.000,0.000,0.133,0.667,0.222,"
"
0.000,0.000,0.000,0.400,0.667,0.500,"
"
0.000,0.000,0.000,0.267,1.000,0.421,"
"
0.000,0.000,0.000,0.333,1.000,0.500,"
"
0.000,0.000,0.000,0.133,0.667,0.222,"
"
0.000,0.000,0.000,0.133,0.400,0.200,"
"
0.000,0.000,0.000,0.133,0.286,0.182,"
"
0.000,0.000,0.000,0.133,0.286,0.182,"
"
0.000,0.000,0.000,0.067,0.500,0.118,"
"
0.000,0.000,0.000,0.067,0.333,0.111,"
"
0.000,0.000,0.000,0.267,0.571,0.364,"
"
0.000,0.000,0.000,0.333,0.625,0.435,"
"
0.000,0.000,0.000,0.200,1.000,0.333,"
"
0.000,0.000,0.000,0.333,0.455,0.385,"
"
0.000,0.000,0.000,0.200,0.429,0.273,"
"
0.000,0.000,0.000,0.200,0.250,0.222,"
"
0.000,0.000,0.000,0.133,0.667,0.222,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.333,0.625,0.435,"
"
0.000,0.000,0.000,0.200,1.000,0.333,"
"
0.000,0.000,0.000,0.200,0.429,0.273,"
"
0.000,0.000,0.000,0.333,0.333,0.333,"
"
0.000,0.000,0.000,0.467,0.175,0.255,"
"
0.000,0.000,0.000,0.200,0.333,0.250,"
"
0.000,0.000,0.000,0.067,0.111,0.083,"
"
0.000,0.000,0.000,0.067,0.167,0.095,"
"
0.000,0.000,0.000,0.133,0.286,0.182,"
"
0.000,0.000,0.000,0.067,0.111,0.083,"
"
0.000,0.000,0.000,0.200,0.750,0.316,"
"
0.000,0.000,0.000,0.200,0.333,0.250,"
"
0.000,0.000,0.000,0.133,0.667,0.222,"
"
0.000,0.000,0.000,0.067,0.111,0.083,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.200,1.000,0.333,"
"
0.000,0.000,0.000,0.200,0.600,0.300,"
"
0.000,0.000,0.000,0.333,0.714,0.455,"
"
0.000,0.000,0.000,0.267,1.000,0.421,"
"
0.000,0.000,0.000,0.333,1.000,0.500,"
"
0.000,0.000,0.000,0.200,1.000,0.333,"
"
0.000,0.000,0.000,0.067,0.167,0.095,"
"
0.000,0.000,0.000,0.200,0.500,0.286,"
"
0.000,0.000,0.000,0.133,0.250,0.174,"
"
0.000,0.000,0.000,0.200,0.500,0.286,"
"
0.000,0.000,0.000,0.333,1.000,0.500,"
"
0.000,0.000,0.000,0.133,0.400,0.200,"
"
0.000,0.000,0.000,0.467,0.875,0.609,"
"
0.000,0.000,0.000,0.133,0.333,0.190,"
"
0.000,0.000,0.000,0.200,1.000,0.333,"
"
0.000,0.000,0.000,0.467,0.500,0.483,"
"
0.000,0.000,0.000,0.200,0.375,0.261,"
"
0.000,0.000,0.000,0.467,0.700,0.560,"
"
0.000,0.000,0.000,0.267,0.235,0.250,"
"
0.000,0.000,0.000,0.200,0.429,0.273,"
"
0.000,0.000,0.000,0.267,0.333,0.296,"
"
0.000,0.000,0.000,0.200,0.300,0.240,"
"
0.000,0.000,0.000,0.400,1.000,0.571,"
"
0.000,0.000,0.000,0.800,0.857,0.828,"
"
0.000,0.000,0.000,0.200,0.600,0.300,"
"
0.000,0.000,0.000,0.333,0.500,0.400,"
"
0.000,0.000,0.000,0.133,0.286,0.182,"
"
0.000,0.000,0.000,0.067,0.250,0.105,"
"
0.067,0.077,0.071,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.267,1.000,0.421,"
"
0.000,0.000,0.000,0.133,0.400,0.200,"
"
0.000,0.000,0.000,0.200,0.333,0.250,"
"
0.000,0.000,0.000,0.067,0.250,0.105,"
"
0.000,0.000,0.000,0.133,0.118,0.125,"
"
0.000,0.000,0.000,0.200,0.200,0.200,"
"
0.000,0.000,0.000,0.267,0.267,0.267,"
"
0.000,0.000,0.000,0.200,0.200,0.200,"
"
0.000,0.000,0.000,0.133,0.667,0.222,"
"
0.000,0.000,0.000,0.200,0.750,0.316,"
"
0.000,0.000,0.000,0.133,0.333,0.190,"
"
0.000,0.000,0.000,0.200,0.429,0.273,"
"
0.000,0.000,0.000,0.067,0.077,0.071,"
"
0.000,0.000,0.000,0.133,0.286,0.182,"
"
0.000,0.000,0.000,0.133,0.167,0.148,"
"
0.000,0.000,0.000,0.600,0.600,0.600,"
"
0.000,0.000,0.000,0.333,0.417,0.370,"
"
0.000,0.000,0.000,0.133,0.400,0.200,"
"
0.000,0.000,0.000,0.133,0.667,0.222,"
"
0.000,0.000,0.000,0.000,0.000,0.000,"
"
0.000,0.000,0.000,0.267,0.250,0.258,"
"
0.000,0.000,0.000,0.333,0.312,0.323,"
"
0.000,0.000,0.000,0.200,0.158,0.176,"
"
0.000,0.000,0.000,0.200,0.150,0.171,"
"
0.000,0.000,0.000,0.400,0.316,0.353,"
"
0.000,0.000,0.000,0.267,0.400,0.320,"
"
0.000,0.000,0.000,0.200,0.600,0.300,"
"
0.000,0.000,0.000,0.133,0.222,0.167,"
"
0.000,0.000,0.000,0.200,0.120,0.150,"
"
